# gt3-lexus-2024
--- LMP3 Cleanup & 2026 CarClass Fixes ---
  captured: 2026-06-13 15:17
  "R": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "N": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "1": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "2": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "3": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "4": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "5": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "6": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "7": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "8": [6675,6045,6135,6225,6315,6405,6495,6585,6675]

  "R": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "N": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "1": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "2": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "3": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "4": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "5": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "6": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "7": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "8": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]

--- baseline ---
  captured: 2026-05-31 11:53
  "R": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "N": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "1": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "2": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "3": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "4": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "5": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "6": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "7": [6675,6045,6135,6225,6315,6405,6495,6585,6675]
  "8": [6675,6045,6135,6225,6315,6405,6495,6585,6675]

  "R": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "N": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "1": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "2": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "3": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "4": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "5": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "6": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "7": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
  "8": [1.0000,0.9056,0.9191,0.9326,0.9461,0.9596,0.9730,0.9865,1.0000]
