# lmp2-oreca-07-2023
--- LMP3 Cleanup & 2026 CarClass Fixes ---
  captured: 2026-06-13 15:17
  "R": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "N": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "1": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "2": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "3": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "4": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "5": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "6": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]

  "R": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "N": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "1": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "2": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "3": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "4": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "5": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "6": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]

--- baseline ---
  captured: 2026-05-31 11:53
  "R": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "N": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "1": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "2": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "3": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "4": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "5": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]
  "6": [7735,6565,6695,6825,6955,7085,7215,7345,7475,7605,7735]

  "R": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "N": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "1": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "2": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "3": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "4": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "5": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
  "6": [1.0000,0.8487,0.8655,0.8824,0.8992,0.9160,0.9328,0.9496,0.9664,0.9832,1.0000]
